,id_bgl_0,aggregation_year,permanent_area,seasonal_area,maybepermanent,maybeseasonal
3040,328,1984,30.8351146330123,132.512260593471,396.778922293609,1002.9082013293
3041,328,1985,34.2177913958408,289.031798096672,397.394449362021,783.089934671976
3042,328,1986,163.725185508745,168.531889691951,249.488331873327,760.974589782189
3043,328,1987,252.52860274158,395.478091620086,133.289530873879,378.738366457195
3044,328,1988,272.975809083871,690.283173952558,132.562801326747,440.645550098447
3045,328,1989,242.445738359187,347.377508278299,150.533034042712,616.387524746148
3046,328,1990,171.937777452819,389.974389803566,246.472247767864,637.525123735033
3047,328,1991,73.154678445227,148.818920855702,219.123785228065,847.803369156243
3048,328,1992,222.474706992634,145.566734148485,163.223492954028,543.408984636833
3049,328,1993,179.072131024974,208.692906540985,220.049597111122,517.309295111654
3050,328,1994,151.380227849,102.548585269826,282.795000955414,1261.2478760779
3051,328,1995,283.029433225841,338.843493725975,138.790869825552,565.567231501024
3052,328,1996,280.560769124386,444.535185610959,148.46894029461,653.129737984385
3053,328,1997,257.544724606357,186.08522500922,159.782820908741,573.061617984771
3054,328,1998,286.135399157634,283.012975019184,115.523779595352,418.385089903272
3055,328,1999,369.127003559862,677.533699576236,32.2681364529757,200.36137318638
3056,328,2000,377.952539150465,599.09407300404,26.1924391935395,207.157739459245
3057,328,2001,378.843808293851,674.501890712363,3.68672129845922,89.3025984102383
3058,328,2002,384.388955504804,432.897247459185,2.41001958526995,153.524703275329
3059,328,2003,362.333577067307,515.338219308827,30.6187682806071,143.036264748325
3060,328,2004,343.385327790037,606.800205948031,53.5253779818932,127.410580496698
3061,328,2005,366.206886538583,584.225072828596,31.2934635576938,88.8669640681348
3062,328,2006,386.861843468003,830.200111574854,21.898602243294,110.186506103655
3063,328,2007,341.504371176382,498.005365019963,59.974626321,288.53120507411
3064,328,2008,392.773467325873,686.588102237239,10.5020337759992,106.067971568477
3065,328,2009,354.117941555361,310.216366242807,52.4019559571031,204.888186848398
3066,328,2010,370.792558794603,682.665529853475,28.296796269348,186.199981145368
3067,328,2011,383.977922637958,602.181190473727,19.8062266217768,111.717543236965
3068,328,2012,371.103708203364,530.550982381417,33.3933609901288,299.485876262346
3069,328,2013,363.211340514096,468.104766308303,53.5544370782146,165.533702260867
3070,328,2014,381.746242046678,482.886838211916,26.5142736512526,65.4534862502165
3071,328,2015,397.465518319136,543.871685215756,0.574367053787379,62.2799540216215
3072,328,2016,404.797528042097,630.490713715092,0.117475213308353,53.894461063024
3073,328,2017,411.757686721103,930.858876785717,4.881005171268,30.6891072234904
3074,328,2018,419.189604748959,874.005578677639,0.176229843462352,53.9726267879034
3075,328,2019,399.462576934561,716.187331047505,10.7976269065307,111.141499842762
3076,328,2020,425.442891341116,891.491862084196,2.46332470098049,77.4253334311709
3077,328,2021,440.119241943318,1070.98667281352,1.7072589121323,111.601379306521
3078,332,1984,148.963350647404,15.3163082346991,7.75898895207952,49.9985688407351
3079,332,1985,153.458704294304,21.2990000925524,5.47596424025159,31.3983356791811
3080,332,1986,146.961159748469,70.5318225492452,0.0,0.161900987137365
3081,332,1987,157.573368463916,29.8619079010618,0.214596727167886,15.3995517460367
3082,332,1988,0.0,0.0,183.659311084967,121.282247185983
3083,332,1989,140.552274135122,23.5014883289716,24.6311926648032,76.7477855083024
3084,332,1990,151.023418331926,20.9151220168932,3.7216068317785,21.995241413943
3085,332,1991,144.194290875956,23.6796738102457,3.40689951957423,11.2194386754735
3086,332,1992,127.429703349731,1.19270687390954,32.6554204735092,93.3347138050535
3087,332,1993,0.0,0.0,183.659311084967,121.282247185983
3088,332,1994,0.0072053991958919,0.0227641121908913,183.658058889435,121.236491822678
3089,332,1995,0.0,0.0,183.659311084967,121.282247185983
3090,332,1996,162.103698936005,48.4899442264703,0.176944133123228,5.79381560095924
3091,332,1997,153.550956972719,57.0510271687618,0.0551566502791555,3.13989081395763
3092,332,1998,150.173798084225,88.7838025360953,0.0,0.262294263356393
3093,332,1999,155.245562391874,90.6739039595478,0.0008423944818787,0.329473661535246
3094,332,2000,153.269605762401,72.3497173317032,0.0,0.121970899322289
3095,332,2001,152.94465320509,47.5821798560276,0.0,0.760932655520418
3096,332,2002,148.212171382091,47.3359263703795,0.0,0.444400141974363
3097,332,2003,148.837531675507,50.5370290704781,0.0008420986705459,8.13981303700232
3098,332,2004,151.299012144694,73.4337284795677,0.0,0.389059503485138
3099,332,2005,154.579913858556,74.2619827878908,0.0016491788800111,0.45715864034365
3100,332,2006,157.601052397423,63.7935040184972,0.0008423944818787,1.35865682028896
3101,332,2007,162.801029635647,67.7017937384231,0.0,0.338415473416521
3102,332,2008,165.899043683211,89.774871563399,0.0326079994803021,0.561868966755676
3103,332,2009,171.34557908036,73.1487343780776,0.0005956773027576,0.574330147545255
3104,332,2010,175.442053814838,76.1091944240444,0.0005956773027576,1.89921642911036
3105,332,2011,179.185529125319,80.342115676453,0.0,0.46754692517011
3106,332,2012,178.654480551481,70.701062474497,0.0,0.108834137355763
3107,332,2013,179.263163688312,81.5162532334752,0.0,0.0025335869286209
3108,332,2014,179.364292205311,62.1122527886581,0.0,0.0137277064470611
3109,332,2015,168.543044086967,64.6729575033964,0.0,0.108031728049037
3110,332,2016,174.927930253433,79.0487106104064,0.0,0.0845928088944478
3111,332,2017,173.361265703368,80.073519996569,0.0,0.0835238718167495
3112,332,2018,168.118624438328,72.2651649630204,0.0,0.203511846777937
3113,332,2019,162.591342943895,81.4251548285843,0.0,0.0561622093164581
3114,332,2020,161.71739042679,86.8554224055256,0.0,0.035651097074151
3115,332,2021,165.549161528946,75.6299207016522,0.0,0.0518092169161594
3116,336,1984,0.0,0.0,0.0,0.0
3117,336,1985,0.0,0.0,0.0,0.0
