id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
508,139,0,2017,3.679222224515564,0.0018529475309962,81.5,0.0350957974192842,258.223423092798,59.54343795681313,1
512,140,0,2017,2.114962798355416,0.0495951781035353,88.5,0.0035385529761914,0.0,6732771.925744599,-99
516,141,0,2017,3.001746633560733,0.0225080778642171,86.5,0.0143998647267011,15.97924286666035,54.46259646431274,1
520,142,0,2017,,,50.0,1.0,0.0,0.0,-99
524,143,0,2017,-2.640567658013858,0.0161736739931318,21.5,0.056807206847649,0.8103503867750985,-5.490337343140929,-1
528,144,0,2017,5.310809306531306,0.0006350095960205,94.5,0.0027812249343891,13.9311817507886,90.15379163040912,1
531,145,0,2017,,,50.0,1.0,0.0,0.0,-99
533,146,0,2017,,,50.0,1.0,0.0,0.0,-99
534,147,0,2017,,,50.0,1.0,0.0,0.0,-99
540,148,0,2017,,,50.0,1.0,0.0,0.0,-99
548,149,0,2017,,,50.0,1.0,0.0,0.0,-99
554,150,0,2017,-1.5224140282200578,0.1583279063139163,27.5,0.1347921615581339,29.90993231631595,-5.796924497198135,-1
558,151,0,2017,1.90729606193726,0.084842753547286,70.5,0.173982817952602,7.04747939601657,15.58945881521631,1
562,152,0,2017,,,50.0,1.0,0.0,0.0,-99
566,153,0,2017,-1.6494236742104271,0.1210824946565606,27.5,0.1347921615581339,903.4216169358835,-1.8424022065893948,-1
570,154,0,2017,,,50.0,1.0,0.0,0.0,-99
574,155,0,2017,,,50.0,1.0,0.0,0.0,-99
578,156,0,2017,6.51769669790189,3.517106836315305e-06,93.5,0.0034671931907658,56.9427264031459,117.79928126168564,1
580,157,0,2017,,,50.0,1.0,0.0,0.0,-99
583,158,0,2017,,,50.0,1.0,0.0,0.0,-99
584,159,0,2017,,,50.0,1.0,0.0,0.0,-99
585,160,0,2017,,,50.0,1.0,0.0,0.0,-99
586,161,0,2017,0.8454372588754961,0.4253213995679548,57.5,0.6341948173294822,435.3878177725781,0.9799023392083642,1
591,162,0,2017,3.333064819028092,0.002896529774145,77.5,0.0664541497999626,63.9869064990088,12.929432252053685,1
598,163,0,2017,1.7093097124230918,0.1383978074428064,82.5,0.0296130943526454,3.63526260718936,47.9970924386558,1
