id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
115206_834,6,2017,,50.0,,1.0,,0.0
115207_834,6,2017,,50.0,,1.0,,0.0
115208_404,6,2017,,50.0,,1.0,,0.0
115208_834,6,2017,,50.0,,1.0,,0.0
115209_404,6,2017,,50.0,,1.0,,0.0
115300_404,6,2017,0.1417118526032937,73.5,0.8885506680366921,0.10610668421605057,1.0,16300.000247387274
115410_404,6,2017,,50.0,,1.0,,0.0
115421_404,6,2017,,50.0,,1.0,,0.0
115422_404,6,2017,,50.0,,1.0,,0.0
115423_404,6,2017,,50.0,,1.0,,0.0
115424_404,6,2017,0.6637798516554763,62.5,0.5366834399608618,0.4146659024229229,1.0,16.46684376221332
115424_800,6,2017,,50.0,,1.0,,0.0
115425_404,6,2017,,50.0,,1.0,,0.0
115426_404,6,2017,,50.0,,1.0,,0.0
115427_404,6,2017,,50.0,,1.0,,0.0
115428_404,6,2017,,50.0,,1.0,,0.0
115429_404,6,2017,,50.0,,1.0,,0.0
115430_231,6,2017,,50.0,,1.0,,0.0
115430_404,6,2017,,50.0,,1.0,,0.0
115440_231,6,2017,,50.0,,1.0,,0.0
115440_404,6,2017,,50.0,,1.0,,0.0
115440_728,6,2017,,50.0,,1.0,,0.0
115451_404,6,2017,,50.0,,1.0,,0.0
115452_231,6,2017,,50.0,,1.0,,0.0
115452_404,6,2017,,50.0,,1.0,,0.0
115453_231,6,2017,,50.0,,1.0,,0.0
115453_404,6,2017,,50.0,,1.0,,0.0
115454_231,6,2017,,50.0,,1.0,,0.0
115455_231,6,2017,,50.0,,1.0,,0.0
115456_231,6,2017,,50.0,,1.0,,0.0
115457_231,6,2017,0.0394229310357265,64.5,0.9689357807926293,0.3412684763150512,1.0,81.70454608124733
115458_231,6,2017,,50.0,,1.0,,0.0
115459_231,6,2017,2.1940914240498337,82.5,0.04454333969592297,0.029613094352645416,1.0,596.4448666378278
115460_231,6,2017,4.052150885225463,88.5,0.0030212395465356308,0.00979219587072503,1.0,5686.283033398831
115470_231,6,2017,5.489697551039051,89.5,0.00010351228579357278,0.008024002332133759,1.0,1052.5585621960843
115480_231,6,2017,,50.0,,1.0,,0.0
115490_231,6,2017,0.7321119505414592,46.5,0.47182338776681976,0.838410115171209,1.0,0.03019456584071287
115501_728,6,2017,,50.0,,1.0,,0.0
115502_404,6,2017,,50.0,,1.0,,0.0
115502_728,6,2017,,50.0,,1.0,,0.0
115502_800,6,2017,,50.0,,1.0,,0.0
115503_728,6,2017,,50.0,,1.0,,0.0
115504_231,6,2017,,50.0,,1.0,,0.0
115504_728,6,2017,,50.0,,1.0,,0.0
115505_404,6,2017,,50.0,,1.0,,0.0
115505_728,6,2017,,50.0,,1.0,,0.0
115506_404,6,2017,,50.0,,1.0,,0.0
115506_728,6,2017,,50.0,,1.0,,0.0
115506_800,6,2017,,50.0,,1.0,,0.0
115507_404,6,2017,,50.0,,1.0,,0.0
115507_728,6,2017,,50.0,,1.0,,0.0
115508_404,6,2017,,50.0,,1.0,,0.0
115508_728,6,2017,,50.0,,1.0,,0.0
115509_404,6,2017,,50.0,,1.0,,0.0
115509_800,6,2017,,50.0,,1.0,,0.0
115601_404,6,2017,,50.0,,1.0,,0.0
115602_231,6,2017,,50.0,,1.0,,0.0
115602_404,6,2017,,50.0,,1.0,,0.0
115603_231,6,2017,,50.0,,1.0,,0.0
115604_231,6,2017,,50.0,,1.0,,0.0
115605_231,6,2017,,50.0,,1.0,,0.0
115606_231,6,2017,,50.0,,1.0,,0.0
115607_231,6,2017,,50.0,,1.0,,0.0
115608_231,6,2017,,50.0,,1.0,,0.0
115711_231,6,2017,,50.0,,1.0,,0.0
115712_231,6,2017,,50.0,,1.0,,0.0
115712_262,6,2017,,50.0,,1.0,,0.0
115713_231,6,2017,,50.0,,1.0,,0.0
115714_231,6,2017,,50.0,,1.0,,0.0
115714_706,6,2017,,50.0,,1.0,,0.0
115715_231,6,2017,-0.3540794008614207,44.5,0.7293372333707273,0.7339474627492532,-1.0,-25.298856518207565
115715_262,6,2017,,50.0,,1.0,,0.0
115716_231,6,2017,2.455998185576994,81.5,0.03302689293637302,0.03495528039312035,1.0,983.4224209109382
115717_231,6,2017,1.028805013530143,61.5,0.31632745826579095,0.4546204062737812,1.0,66.45658599749382
115718_231,6,2017,1.3277174489120167,73.5,0.22772291535736264,0.11794806736103866,1.0,396.382855239061
115719_231,6,2017,0.5658134452776402,51.5,0.5877492307055479,0.9458048585528951,-1.0,-2.9164165219937463
115720_231,6,2017,,50.0,,1.0,,0.0
115730_231,6,2017,,50.0,,1.0,,0.0
115740_231,6,2017,,50.0,,1.0,,0.0
115750_231,6,2017,,50.0,,1.0,,0.0
115801_231,6,2017,,50.0,,1.0,,0.0
115802_231,6,2017,,50.0,,1.0,,0.0
115803_231,6,2017,,50.0,,1.0,,0.0
115803_232,6,2017,,50.0,,1.0,,0.0
115804_232,6,2017,,50.0,,1.0,,0.0
115805_231,6,2017,,50.0,,1.0,,0.0
115806_231,6,2017,,50.0,,1.0,,0.0
115807_231,6,2017,,50.0,,1.0,,0.0
115808_231,6,2017,,50.0,,1.0,,0.0
115808_232,6,2017,,50.0,,1.0,,0.0
115809_231,6,2017,,50.0,,1.0,,0.0
115809_232,6,2017,,50.0,,1.0,,0.0
115900_231,6,2017,,50.0,,1.0,,0.0
115900_262,6,2017,,50.0,,1.0,,0.0
116001_834,6,2017,,50.0,,1.0,,0.0
116002_834,6,2017,,50.0,,1.0,,0.0
116002_894,6,2017,,50.0,,1.0,,0.0
116003_834,6,2017,,50.0,,1.0,,0.0
116004_834,6,2017,,50.0,,1.0,,0.0
116005_834,6,2017,,50.0,,1.0,,0.0
116006_834,6,2017,,50.0,,1.0,,0.0
116007_834,6,2017,,50.0,,1.0,,0.0
116008_834,6,2017,,50.0,,1.0,,0.0
116009_834,6,2017,,50.0,,1.0,,0.0
117000_454,6,2017,,50.0,,1.0,,0.0
117000_508,6,2017,,50.0,,1.0,,0.0
117100_706,6,2017,,50.0,,1.0,,0.0
117101_706,6,2017,,50.0,,1.0,,0.0
117102_404,6,2017,,50.0,,1.0,,0.0
117102_706,6,2017,,50.0,,1.0,,0.0
117103_706,6,2017,,50.0,,1.0,,0.0
117104_404,6,2017,,50.0,,1.0,,0.0
117104_706,6,2017,,50.0,,1.0,,0.0
117105_404,6,2017,,50.0,,1.0,,0.0
117105_706,6,2017,,50.0,,1.0,,0.0
117106_404,6,2017,,50.0,,1.0,,0.0
117107_404,6,2017,,50.0,,1.0,,0.0
117108_404,6,2017,,50.0,,1.0,,0.0
117109_404,6,2017,,50.0,,1.0,,0.0
117201_404,6,2017,,50.0,,1.0,,0.0
117202_404,6,2017,,50.0,,1.0,,0.0
117203_404,6,2017,,50.0,,1.0,,0.0
117204_404,6,2017,,50.0,,1.0,,0.0
117205_404,6,2017,,50.0,,1.0,,0.0
117206_404,6,2017,,50.0,,1.0,,0.0
117207_404,6,2017,,50.0,,1.0,,0.0
117208_404,6,2017,,50.0,,1.0,,0.0
117209_404,6,2017,1.2013323953158697,66.5,0.28166380962406623,0.27676572286017653,1.0,36.78081473855207
117300_834,6,2017,,50.0,,1.0,,0.0
117310_404,6,2017,,50.0,,1.0,,0.0
117320_404,6,2017,,50.0,,1.0,,0.0
117320_834,6,2017,,50.0,,1.0,,0.0
117321_404,6,2017,,50.0,,1.0,,0.0
117322_404,6,2017,,50.0,,1.0,,0.0
117323_404,6,2017,,50.0,,1.0,,0.0
117324_404,6,2017,,50.0,,1.0,,0.0
117324_834,6,2017,,50.0,,1.0,,0.0
117325_404,6,2017,,50.0,,1.0,,0.0
117326_404,6,2017,,50.0,,1.0,,0.0
117327_404,6,2017,,50.0,,1.0,,0.0
117328_404,6,2017,,50.0,,1.0,,0.0
117329_404,6,2017,,50.0,,1.0,,0.0
117331_404,6,2017,,50.0,,1.0,,0.0
117332_404,6,2017,,50.0,,1.0,,0.0
117333_404,6,2017,,50.0,,1.0,,0.0
117334_404,6,2017,,50.0,,1.0,,0.0
117335_404,6,2017,,50.0,,1.0,,0.0
117336_404,6,2017,,50.0,,1.0,,0.0
117337_404,6,2017,,50.0,,1.0,,0.0
117338_404,6,2017,,50.0,,1.0,,0.0
117338_834,6,2017,,50.0,,1.0,,0.0
