id_bgl,t_score,u_score,p_t,p_u,delta
184,1.0078999787456049,67.5,0.35589998746388074,0.24784912392821346,58.88218860302494
188,5.778924865508033,85.5,6.921685480313605e-06,0.017352389190761427,71.35653653800772
191,0.5832269883626527,58.5,0.5817551634536949,0.5865744278376042,2.8804768836966885
192,3.368507200327617,88.5,0.011855729819089705,0.00979219587072503,19.069513967759057
196,2.2771342381572466,81.5,0.07708192067320294,0.035095797419284286,41.45875995404696
203,2.80991541469544,84.5,0.028668324856206837,0.020822974945909827,17.3284077417368
204,4.589891649998654,89.5,0.000993470788399148,0.008024002332133759,134.6248145630662
208,2.993760679651674,92.5,0.033246199751507936,0.004303876558312955,24.716868303958233
212,2.0332008696503094,84.5,0.06483191798311672,0.020822974945909827,202.18451568061678
214,1.9058288587692014,81.5,0.11917451320536726,0.035095797419284286,37.86313008257303
218,7.291125830842292,94.5,2.046365699795575e-07,0.002781224934389138,142.05912538198524
222,1.1162336492665912,66.5,0.3001983932176,0.27676572286017653,3.580426053199616
226,5.631690851949193,92.5,0.00010198846176882523,0.004303876558312955,246.84181386551543
231,2.7371432826992637,93.5,0.04871232855701337,0.003467193190765815,50.99282299441881
232,5.030181346969083,92.5,0.001077886142911811,0.004303876558312955,67.7139031799244
233,5.710647010477565,91.5,0.00010017288448197303,0.005319686062957794,49.325074678726736
234,4.757956316382759,84.5,0.0003876300640858914,0.00714437921701634,6.188057963330839e+17
238,0.3160703494067137,60.5,0.7559117237075652,0.49665738654204294,6.886669551680548
239,0.6309490715189215,49.5,0.5351582153660781,1.0,1.2150682098468668
242,2.381581956708576,86.5,0.05826105609573459,0.014399864726701132,137.32050793410127
246,4.664732792334139,93.5,0.001962192010911365,0.003467193190765815,38.909181579501535
248,4.913760381628333,94.5,0.0017846706255418676,0.002781224934389138,44.73164323190989
250,6.24664175343765,94.5,3.0931968973293365e-06,0.002781224934389138,38.90544946124121
254,3.918334860446133,94.5,0.009507488242835326,0.002781224934389138,48.71537465932958
