id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
116_834,19,3,2017,-1.3521846119704797,0.221907336129497,26.5,0.1179480673610386,5527.90169834086,-3.492049001526796,-1
116_894,20,3,2017,1.633298930796481,0.1560170505019537,77.0,0.0703358459157229,0.0017669939552433,49.69705758832967,-99
117_404,21,3,2017,2.452775397489488,0.0520846705028037,79.5,0.0486896107022692,131.5859605952205,2.43850621602135,1
117_454,22,3,2017,-2.2995724217823352,0.06246969258824,16.5,0.0248837232827013,1045.2247213948,-64.55616648764459,-1
117_508,23,3,2017,-2.826163120962236,0.0172642592035127,21.5,0.0569983064105199,303.1804400656475,-8.96150040185159,-1
117_706,24,3,2017,4.622912278593719,0.0001746045125648,86.5,0.0143998647267011,2.596419428134855,34.91008118499522,1
117_834,25,3,2017,1.4218120251256483,0.2271217511317477,64.5,0.3412684763150512,294.275466082226,6.014361515731816,1
121_508,26,3,2017,5.232878485509049,2.6819564971450813e-05,88.5,0.009792195870725,6.492337854193555,54.92103516131072,1
122_180,27,3,2017,,,50.0,1.0,0.0,0.0,-99
122_24,28,3,2017,1.6780861810183842,0.1532213606625613,73.5,0.1179480673610386,70.85929312068245,3.432223153107582,1
122_454,29,3,2017,-5.269336544232771,4.712255247715476e-05,12.5,0.0118996445841574,23053.1054483481,-0.2291587909275324,-1
122_508,30,3,2017,0.8916318247790217,0.3913918460231644,61.5,0.4546204062737812,7141.852952753436,0.1837289386504737,1
122_516,31,3,2017,-2.062145851953118,0.0518568132264852,47.5,0.8918594638362826,40.20963086223145,-0.1781727150178067,-1
122_716,32,3,2017,-0.409737044029295,0.7003755606591532,49.5,1.0,294.800852602131,0.6398275819975043,1
122_72,33,3,2017,-0.7730684099230559,0.4484857538949932,47.5,0.8918594638362826,11.1133931280052,-0.9177788257007764,-1
122_834,34,3,2017,-4.640524896183527,0.0002210861839637,11.5,0.009792195870725,8.234085648930655,-8.215221604543357,-1
122_894,35,3,2017,1.8978742346176407,0.0925908058434459,70.5,0.173982817952602,800.8031944978105,1.3223113588684965,1
123_508,36,3,2017,-2.730598524564366,0.0294477595790564,16.5,0.0248837232827013,596.50292089546,-6.2443933119842265,-1
123_716,37,3,2017,0.9361712549011804,0.3880332114796156,65.5,0.307900293130149,70.63301064458824,10.992714456417294,1
124_508,38,3,2017,-0.7531615595659079,0.4792162220010898,36.5,0.3768657114368939,109.90931838255447,-10.630654448937891,-1
124_710,39,3,2017,0.9082794324748552,0.3868699491902151,57.5,0.6341948173294822,108.9909220652645,7.241296423009308,1
124_716,40,3,2017,-0.3626015612910793,0.733219641451683,50.5,1.0,48.70594467925735,3.272318793781112,1
124_72,41,3,2017,5.314324804916658,3.999004097602173e-05,84.5,0.0208229749459098,4.85232267410086,151.06536572954226,1
125_426,42,3,2017,-0.7758752574686321,0.4658838414880099,35.5,0.330227669403371,0.0027219128678552,-71.1670795507798,-99
125_508,43,3,2017,-2.6936399972035967,0.0263817007413963,20.5,0.0486896107022692,144.082166936958,-13.242573258661542,-1
125_710,44,3,2017,0.1592646008015277,0.8761929816411106,50.5,1.0,753.691498850091,1.0614211844745862,1
