PFAF_ID,id,t_score,u_score,p_t,p_u,p_u_thd_0.01,sign
227371,227371_100,-4.946353779221066,-7.5,7.134076576057074e-05,0.0043038765583129,1.0,-1.0
227376,227376_642,-5.29017589519174,-9.5,2.6076855607162352e-05,0.0065472876128609,1.0,-1.0
227390,227390_642,5.41724875075376,93.5,2.0061142559865808e-05,0.0034671931907658,1.0,1.0
227401,227401_688,9.226091061090552,92.5,1.3728763108501616e-08,0.0008905854024854,1.0,1.0
227409,227409_705,3.109370551079628,85.5,0.0164574648669292,0.0056201510921649,1.0,1.0
227624,227624_642,5.408254638029837,93.5,0.000234839417739,0.0034671931907658,1.0,1.0
227625,227625_642,3.7656727490325537,88.5,0.0037052067688218,0.009792195870725,1.0,1.0
227626,227626_642,2.5849862265728154,91.5,0.0178265828960709,0.0053196860629577,1.0,1.0
227694,227694_642,5.266643832198177,94.5,3.393311379529973e-05,0.0027812249343891,1.0,1.0
231406,231406_724,-4.125105269401439,-6.5,0.0057456097750545,0.0034671931907658,1.0,-1.0
231700,231700_620,8.532119188827517,94.5,1.9894699126744776e-08,0.0027812249343891,1.0,1.0
231801,231801_620,8.63618397811862,93.5,2.77897110665506e-08,0.0034671931907658,1.0,1.0
231801,231801_724,6.517381749666547,92.5,2.081537620772226e-06,0.0043038765583129,1.0,1.0
231805,231805_724,5.164860283579061,92.5,0.0010918449427701,0.0043038765583129,1.0,1.0
231909,231909_724,4.37492413554012,89.5,0.0008908709512648,0.0080240023321337,1.0,1.0
232180,232180_250,3.5481441140875285,88.5,0.0043646977018569,0.009792195870725,1.0,1.0
232190,232190_250,4.169248650121016,94.5,0.0008434653683169,0.0027812249343891,1.0,1.0
232406,232406_250,4.328149947795688,94.5,0.0002819906993726,0.0027812249343891,1.0,1.0
232409,232409_250,3.395899126798948,88.5,0.0028332735959723,0.009792195870725,1.0,1.0
232620,232620_250,-3.0023077498349977,-9.5,0.0253852685449034,0.0065472876128609,1.0,-1.0
232706,232706_276,-5.9562280086939134,-8.5,6.715499818084482e-06,0.0053196860629577,1.0,-1.0
242240,242240_616,5.65434972506157,95.5,1.766828711620915e-05,0.0022214145869887,1.0,1.0
242410,242410_616,-4.932962998106946,-9.5,0.0002407259595876,0.0065472876128609,1.0,-1.0
242444,242444_616,4.360329382056025,93.5,0.0003256380627384,0.0034671931907658,1.0,1.0
