id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,mean,std,thd_low,thd_high,alpha,p_thd,decision
11590_231,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11590_262,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11600_834,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11600_894,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11700_454,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11700_508,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11710_404,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11710_706,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11720_404,5,2017,-0.7397684878249657,0.4893084728726175,41.5,0.5865744278376042,111.8255599035435,-35.2939237233846,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,0
11730_834,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11731_404,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11732_404,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
11732_834,5,2017,,,50.0,1.0,0.0,0.0,-0.1316992644938262,2.9290253759643465,-3.0607246404581727,2.7973261114705203,1,0.025,-99
