PFAF_ID,id,t_score,u_score,p_t,p_u,p_u_thd_0.01,sign
112300,112300_706,4.525532075583541,88.5,0.0003009778236613,0.009792195870725,1.0,1.0
112901,112901_706,-6.650633576300816,-6.5,1.1562111702169416e-06,0.0034671931907658,1.0,-1.0
112903,112903_706,-5.491187133855873,-11.5,1.3909742052438165e-05,0.009792195870725,1.0,-1.0
112907,112907_706,-5.017852579028123,-11.5,6.505587005446332e-05,0.009792195870725,1.0,-1.0
112909,112909_706,-6.1573205454482425,-9.5,2.7986515021684457e-06,0.0065472876128609,1.0,-1.0
114227,114227_231,2.2196312883656963,84.5,0.0858909025485334,0.0035210440435177,1.0,1.0
114227,114227_404,3.425348540189468,89.5,0.0151375917753926,0.0080118808880469,1.0,1.0
114413,114413_706,-6.218709000816163,-8.5,3.6803376005548423e-06,0.0053196860629577,1.0,-1.0
114417,114417_706,-5.824876514506643,-11.5,9.945240896521303e-06,0.009792195870725,1.0,-1.0
114444,114444_231,2.2,77.5,0.0873566945950258,0.0038965004359573,1.0,1.0
114460,114460_231,4.548500669815796,92.5,0.0002686628484897,0.0043038765583129,1.0,1.0
114702,114702_706,2.28000716745707,95.5,0.0838642590194605,0.0018733011883244,1.0,1.0
114910,114910_231,-8.534157207992061,-9.5,5.719136756441369e-08,0.0065472876128609,1.0,-1.0
114940,114940_231,3.788706419697939,93.5,0.0122451177671685,0.0004161675737729,1.0,1.0
114980,114980_231,2.6239744985101368,86.0,0.0504895587162057,0.0012791121821373,1.0,1.0
115208,115208_404,2.186568469650973,91.5,0.0917273510870659,0.0053196860629577,1.0,1.0
115300,115300_404,4.698126269285663,89.5,0.0004410760957388,0.0080240023321337,1.0,1.0
115422,115422_404,2.163263268893931,88.5,0.0918479387772263,0.009792195870725,1.0,1.0
115426,115426_404,1.5764304844657555,78.5,0.1900555401003037,0.0028770378029029,1.0,1.0
115430,115430_231,4.393956707014161,89.5,0.0002570400365495,0.0080240023321337,1.0,1.0
115452,115452_231,2.750219673013549,91.5,0.0423300450338647,0.0053196860629577,1.0,1.0
115453,115453_404,4.38574518077801,95.5,0.0018126239419308,0.0022214145869887,1.0,1.0
115456,115456_231,2.206006543085524,95.5,0.0906477291585311,0.0003703679124224,1.0,1.0
115457,115457_231,6.3178652462383935,88.5,2.3061736924828493e-06,0.0053417020056239,1.0,1.0
115460,115460_231,1.5500732345273047,94.0,0.1955481208679684,0.0024839777332811,1.0,1.0
115602,115602_231,7.328059294414726,95.5,1.7251546775718049e-06,0.0022214145869887,1.0,1.0
115605,115605_231,5.200325302094622,95.5,0.001137692500807,0.0022214145869887,1.0,1.0
