id,t_score,u_score,p_t,p_u,p_u_thd_0.01
1170_508,-2.4041544504599983,-20.5,0.04475123598234456,0.048689610702269216,0.0
1171_404,1.9628178852632205,66.5,0.07397755800441841,0.27676572286017653,0.0
1171_706,4.622912278593719,86.5,0.00017460451256482386,0.014399864726701132,0.0
1172_404,-1.1798959567244882,-32.5,0.2682097443859893,0.24784912392821346,0.0
1173_404,4.69858771199785,90.5,0.0002217184337954249,0.006547287612860911,1.0
1173_834,2.413147981756994,86.5,0.0680888775885431,0.014399864726701132,0.0
1174_834,1.3071312412815062,60.5,0.260306961691559,0.49665738654204294,0.0
1175_834,2.2301932718661335,72.5,0.04567434684800669,0.13479216155813392,0.0
1176_454,-8.08688830937205,-15.5,1.192587392985592e-07,0.020822974945909827,0.0
1176_508,-5.2783075197614115,-13.5,2.7294286807044182e-05,0.014399864726701132,0.0
1176_834,-1.3209967392736333,-32.5,0.20452592253375332,0.24784912392821346,0.0
1177_508,2.479568005275376,79.5,0.02876804226816853,0.048689610702269216,0.0
1178_508,-1.3055694308225145,-31.5,0.24440197640150596,0.2211162550702167,0.0
1179_508,3.534490427697515,83.5,0.0034072559384193553,0.02488372328270136,0.0
1210_508,5.232878485509046,88.5,2.681956497145096e-05,0.00979219587072503,1.0
1221_508,1.902132574081923,63.5,0.07039708909125227,0.37686571143689396,0.0
1222_454,-5.268415381107072,-12.5,4.7243847464583353e-05,0.011899644584157432,0.0
1222_508,-3.139189988719546,-13.5,0.01138809833305023,0.014399864726701132,0.0
1222_834,-4.640524896183512,-11.5,0.00022108618396371829,0.00979219587072503,1.0
1222_894,,,,1.0,0.0
1223_454,-1.3272164823672348,-32.5,0.22549529641545754,0.24775806224304098,0.0
1223_508,0.8801742481204238,61.5,0.40585181502713596,0.4546204062737812,0.0
1223_716,-1.1236326164536634,-36.5,0.31671026421183945,0.37686571143689396,0.0
1223_894,4.158866027379339,95.5,0.008142005465516182,0.0022214145869887034,1.0
1224_180,,,,1.0,0.0
1224_454,,,,1.0,0.0
1224_508,-1.5708975880917386,-27.5,0.16590891252256637,0.13479216155813392,0.0
1224_894,-2.3406730826603828,-22.5,0.04966550299752323,0.06645414979996266,0.0
1225_508,2.5242057729931515,74.0,0.024234617917194376,0.10190883410995466,0.0
1225_716,1.9284260772509219,70.5,0.09564385163065618,0.17398281795260206,0.0
1225_894,2.387660077085488,75.5,0.04186688726628698,0.08924454710859073,0.0
1226_180,,,,1.0,0.0
1226_894,2.133703531099879,71.5,0.050482367156489294,0.1534378834105726,0.0
1227_716,0.12944249200431748,60.5,0.9024032070687249,0.49665738654204294,0.0
1227_72,3.7353297641568215,88.5,0.005433218924708297,0.00888247512096326,1.0
1227_894,-1.715416065280497,-26.5,0.1316116437450242,0.11794806736103866,0.0
1228_24,0.9999839713778582,65.5,0.3469900338282845,0.307900293130149,0.0
1228_516,-2.3959115591207962,-45.5,0.025978447719896974,0.7856962962493347,0.0
1228_72,-0.7860227075723839,-47.5,0.44104116335238785,0.8918594638362826,0.0
1228_894,-0.4050506807417245,-49.5,0.6943744979523607,1.0,0.0
1229_180,,,,1.0,0.0
1229_24,1.5114383797443625,70.5,0.19492366047597565,0.17398281795260206,0.0
1229_516,7.247521020865152,95.5,3.172880340119027e-07,0.0022214145869887034,1.0
1229_894,3.7715674592595843,86.5,0.004956456312244284,0.014399864726701132,0.0
1230_508,-2.730598524564366,-16.5,0.029447759579056463,0.02488372328270136,0.0
1230_716,0.9361712549011872,65.5,0.38803321147961267,0.307900293130149,0.0
1241_508,-2.917682557306173,-17.5,0.02305480529172085,0.029613094352645416,0.0
1242_508,-0.5599189940173086,-37.5,0.5966511388100875,0.4146659024229229,0.0
1242_716,,,,1.0,0.0
1243_508,-2.0773356504227714,-30.5,0.050071752816164876,0.1965160943128864,0.0
1244_508,-3.1330956420642635,-18.5,0.006718463911570339,0.035095797419284286,0.0
1244_710,-0.3176243735774131,-45.5,0.7561424285204794,0.7856962962493347,0.0
1245_508,-0.37149579206172273,-47.5,0.7227365705704905,0.8918594638362826,0.0
1245_710,0.18925497848141296,-50.5,0.8567380113385608,1.0,0.0
1245_716,-0.24657543360823952,51.5,0.8159071605990753,0.9458048585528951,0.0
1246_716,-0.5771620951116472,-37.5,0.5901219603223464,0.4146659024229229,0.0
1246_72,5.862445721570933,94.5,1.26244846657113e-05,0.002781224934389138,1.0
1247_710,1.130473812016463,64.5,0.3054800930927022,0.3412684763150512,0.0
1247_716,,,,1.0,0.0
1247_72,1.0,,0.373900966300059,0.05743311963200361,0.0
1248_72,-3.9052214597542214,-15.5,0.0017443478279205518,0.020822974945909827,0.0
1249_710,2.770176888691363,83.5,0.02842675620267582,0.02488372328270136,0.0
1249_72,5.294525123054421,83.5,3.883873757023415e-05,0.02488372328270136,0.0
1251_508,-3.1558069202314787,-26.5,0.004554679658368637,0.11794806736103866,0.0
1252_508,-2.5380047421635163,-26.5,0.021786055283848936,0.11794806736103866,0.0
1252_710,-1.2306815154895652,-36.5,0.2494396425451003,0.37686571143689396,0.0
1252_748,-0.3208152222416335,-42.5,0.757647203659497,0.6341948173294822,0.0
1253_508,0.16697901448112318,-50.5,0.87357628893924,1.0,0.0
1253_710,1.5027969566249808,62.5,0.15971179699687219,0.4146659024229229,0.0
