id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1147_706,4,2005,,,50.0,1.0,0.0,0.0
1147_706,4,2010,,,50.0,1.0,0.0,0.0
1147_706,4,2015,,,50.0,1.0,0.0,0.0
1147_706,4,2017,,,50.0,1.0,0.0,0.0
1148_231,4,2000,,,50.0,1.0,0.0,0.0
1148_231,4,2005,,,50.0,1.0,0.0,0.0
1148_231,4,2010,,,50.0,1.0,0.0,0.0
1148_231,4,2015,,,50.0,1.0,0.0,0.0
1148_231,4,2017,,,50.0,1.0,0.0,0.0
1149_231,4,2000,1.6411061209186528,0.11710507180562031,44.5,0.7338488462374848,30.100588152845,-0.200382155558917
1149_231,4,2005,0.12502709229363934,0.9032569517367788,49.5,1.0,30.100588152845,0.06483150475385735
1149_231,4,2010,0.3489895102120872,0.7350042729834514,61.5,0.4544466217384099,30.100588152845,0.11495267017386651
1149_231,4,2015,-0.6485963172114009,0.547397812698132,44.5,0.7338488462374848,30.100588152845,-2.007342548210423
1149_231,4,2017,3.0490200827219267,0.01200164274320101,82.5,0.029613094352645416,30.100588152845,5.5408697052020655
1149_706,4,2000,,,50.0,1.0,0.0,0.0
1149_706,4,2005,,,50.0,1.0,0.0,0.0
1149_706,4,2010,,,50.0,1.0,0.0,0.0
1149_706,4,2015,,,50.0,1.0,0.0,0.0
1149_706,4,2017,,,50.0,1.0,0.0,0.0
1151_834,4,2000,,,50.0,1.0,0.0,0.0
1151_834,4,2005,,,50.0,1.0,0.0,0.0
1151_834,4,2010,,,50.0,1.0,0.0,0.0
1151_834,4,2015,,,50.0,1.0,0.0,0.0
1151_834,4,2017,,,50.0,1.0,0.0,0.0
1152_404,4,2000,,,50.0,1.0,0.0,0.0
1152_404,4,2005,,,50.0,1.0,0.0,0.0
1152_404,4,2010,,,50.0,1.0,0.0,0.0
1152_404,4,2015,,,50.0,1.0,0.0,0.0
1152_404,4,2017,,,50.0,1.0,0.0,0.0
1152_834,4,2000,,,50.0,1.0,0.0,0.0
1152_834,4,2005,,,50.0,1.0,0.0,0.0
1152_834,4,2010,,,50.0,1.0,0.0,0.0
1152_834,4,2015,,,50.0,1.0,0.0,0.0
1152_834,4,2017,,,50.0,1.0,0.0,0.0
1153_404,4,2000,-2.8271172232981563,0.010767613268509642,32.5,0.14478961507270446,0.0,0.0
1153_404,4,2005,-2.8271172232981563,0.010767613268509642,32.5,0.14478961507270446,0.0,0.0
1153_404,4,2010,-0.817148526090138,0.4358219021011318,47.5,0.8743021204905532,0.0,0.0
1153_404,4,2015,6.818243735674199,8.88420050632312e-07,87.5,0.0066560579788546735,0.0,5426422.299933619
1153_404,4,2017,7.228735485940916,3.800885548035762e-07,91.5,0.0026506384119339577,0.0,5453241.50065426
1154_231,4,2000,-2.9966698900604465,0.007000135798747101,19.5,0.04134423030761837,30.6548726332069,-99.98840847695774
1154_231,4,2005,-1.4724376263118242,0.15710294181097972,46.5,0.8383487162012156,30.6548726332069,0.015896414222519258
1154_231,4,2010,-1.3864632078312389,0.18161779339462641,47.5,0.891818055418289,30.6548726332069,-0.19506233459502348
1154_231,4,2015,2.9353442989678538,0.02484130977218482,86.5,0.01436223767347692,30.6548726332069,297.17660430462047
1154_231,4,2017,7.244753301432648,1.0536795986339017e-06,92.5,0.004303876558312955,30.6548726332069,301.9358925717026
1154_404,4,2000,-0.7451161559727526,0.48435844514072957,40.5,0.5405256097346169,18.39481840576625,-9.724536224998499
1154_404,4,2005,0.6404890712836816,0.5410278954884874,58.5,0.5864302419067187,18.39481840576625,19.9642328712007
1154_404,4,2010,1.9541033481176666,0.09351658291234921,76.5,0.07705203661884766,18.39481840576625,38.578006212470804
1154_404,4,2015,-2.851079997763579,0.01022005416842632,24.5,0.08912133249537314,18.39481840576625,-17.34610691957165
1154_404,4,2017,0.5000461182644492,0.6399964760194568,52.5,0.8918594638362826,18.39481840576625,-10.29308960340792
1154_728,4,2000,,,50.0,1.0,0.0,0.0
1154_728,4,2005,,,50.0,1.0,0.0,0.0
1154_728,4,2010,,,50.0,1.0,0.0,0.0
1154_728,4,2015,,,50.0,1.0,0.0,0.0
1154_728,4,2017,,,50.0,1.0,0.0,0.0
1154_800,4,2000,,,50.0,1.0,0.0,0.0
1154_800,4,2005,,,50.0,1.0,0.0,0.0
1154_800,4,2010,,,50.0,1.0,0.0,0.0
1154_800,4,2015,,,50.0,1.0,0.0,0.0
1154_800,4,2017,,,50.0,1.0,0.0,0.0
1155_231,4,2000,,,50.0,1.0,0.0,0.0
1155_231,4,2005,,,50.0,1.0,0.0,0.0
1155_231,4,2010,,,50.0,1.0,0.0,0.0
1155_231,4,2015,,,50.0,1.0,0.0,0.0
1155_231,4,2017,,,50.0,1.0,0.0,0.0
1155_404,4,2000,,,50.0,1.0,0.0,0.0
1155_404,4,2005,,,50.0,1.0,0.0,0.0
