id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
7822_840,4,2000,0.14488042731185302,0.888735047829362,51.5,0.9457840102873425,12.65022005855445,6.75648278641914
7822_840,4,2005,-1.6658003230447214,0.1257543989859306,33.5,0.2765806978220734,12.65022005855445,-5.6561246633147055
7822_840,4,2010,-1.2491505708581474,0.2515434091870978,34.5,0.3077139478434141,12.65022005855445,-9.970320177011663
7822_840,4,2015,2.4411082767517955,0.04428360693672405,80.5,0.04134423030761837,12.65022005855445,19.87543432915448
7822_840,4,2017,2.337384523014912,0.05349580792678164,78.5,0.05699830641051993,12.65022005855445,23.88688632057612
7823_840,4,2000,0.05830985942869841,0.9554001806973818,50.5,1.0,0.322549922508188,-4.304444241049663
7823_840,4,2005,0.9500597377200634,0.3691792498643309,65.5,0.3077139478434141,0.322549922508188,10.759625130345201
7823_840,4,2010,-3.0107437732616935,0.008460778671400816,21.5,0.05690274511461345,0.322549922508188,-15.851454078072289
7823_840,4,2015,0.835040198806425,0.4387161824604705,62.5,0.41448613410576296,0.322549922508188,5.862903559289194
7823_840,4,2017,0.47981332138833593,0.6412310073594436,58.5,0.5865744278376042,0.322549922508188,2.736323109243355
7824_840,4,2000,0.9617294181947007,0.36672969181309295,65.5,0.3077139478434141,32.216859171040554,4.536335437105238
7824_840,4,2005,-1.589209532556108,0.1267993601975729,34.5,0.3077139478434141,32.216859171040554,-1.2490372598100468
7824_840,4,2010,-1.5372277692652676,0.1398328749839732,38.5,0.4544466217384099,32.216859171040554,-0.08344112712019275
7824_840,4,2015,0.5270801412494378,0.622108591586195,61.5,0.4544466217384099,32.216859171040554,4.713878290943789
7824_840,4,2017,-0.10101697596276629,0.9237114599557223,44.5,0.7339474627492532,32.216859171040554,-0.1982245483644187
7825_840,4,2000,1.1110561268189718,0.3074769692589969,66.5,0.2765806978220734,2.686345670896115,4.424288855299587
7825_840,4,2005,0.4975584172319937,0.6375533741386932,61.5,0.4544466217384099,2.686345670896115,3.073172815064955
7825_840,4,2010,-0.9425799806456292,0.38198329294791655,33.5,0.2765806978220734,2.686345670896115,-2.548730689124099
7825_840,4,2015,-0.871021418609746,0.4082356030992893,38.5,0.4544466217384099,2.686345670896115,-0.3298532006358934
7825_840,4,2017,-1.6395499791903494,0.14372946473102144,30.5,0.1965160943128864,2.686345670896115,-5.982761014367939
7826_124,4,2000,-0.7637018361614325,0.4809454071047875,39.5,0.4964915434248136,144.6433292848535,-4.884426779222819
7826_124,4,2005,0.549255121995732,0.5963491322006059,52.5,0.891818055418289,144.6433292848535,1.3720169267768665
