id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
112,0,2017,2.705699206858628,88.5,0.03474671012121313,0.00979219587072503,1.0,34.358525218475584
116,0,2017,3.5594542207723006,89.5,0.010138273077796673,0.008024002332133759,1.0,1253.357369267877
120,0,2017,4.408625809247605,87.5,0.0011044900763209852,0.011899644584157432,1.0,44.96679230191544
124,0,2017,0.3902710963655038,48.5,0.7017661219429489,0.9458048585528951,-1.0,-2.5112010766102753
132,0,2017,,50.0,,1.0,,0.0
136,0,2017,,50.0,,1.0,,0.0
140,0,2017,,50.0,,1.0,,0.0
144,0,2017,-0.3863191198874028,42.5,0.7158855374088797,0.6341948173294822,-1.0,-7.261201795963579
148,0,2017,,50.0,,1.0,,0.0
152,0,2017,0.9757639013828021,60.5,0.35461618834130926,0.49665738654204294,1.0,2.3976447391237583
156,0,2017,0.8949458881879977,59.5,0.39007160640631333,0.5406815690956761,1.0,2.654835247670112
162,0,2017,,50.0,,1.0,,0.0
166,0,2017,,50.0,,1.0,,0.0
170,0,2017,3.459756984952562,76.5,0.002349521643593788,0.0771659313616824,1.0,73.55753367659092
174,0,2017,,50.0,,1.0,,0.0
175,0,2017,,50.0,,1.0,,0.0
178,0,2017,1.5406730013662306,61.5,0.1373153127377853,0.4546204062737812,1.0,97.24546093082577
180,0,2017,2.156884865337808,79.5,0.06336401043778175,0.048689610702269216,1.0,38.44489336775065
184,0,2017,,50.0,,1.0,,0.0
188,0,2017,5.343919669196656,86.5,3.040135614426949e-05,0.014399864726701132,1.0,88.26148024159312
191,0,2017,1.68512769162845,78.5,0.11625934929192953,0.05699830641051993,1.0,14.762459837712939
192,0,2017,1.8334300328824762,76.5,0.1264126281974316,0.0771659313616824,1.0,32.86340372275376
196,0,2017,1.9512393601152829,73.5,0.06978708688682335,0.11794806736103866,1.0,46.558777486215966
203,0,2017,2.9800044780956987,78.5,0.009292433871011108,0.05699830641051993,1.0,9.904539477705072
204,0,2017,2.2980184164540254,70.5,0.03544275555128673,0.17398281795260206,1.0,8.738414164533713
208,0,2017,,50.0,,1.0,,0.0
212,0,2017,,50.0,,1.0,,0.0
214,0,2017,1.017293371332104,62.5,0.3566150076976137,0.4146659024229229,1.0,20.455485861219138
218,0,2017,2.4715845425934297,81.5,0.0344606430963317,0.035095797419284286,1.0,110.76333428397709
222,0,2017,0.6809983917312783,54.5,0.5218424182557988,0.7856962962493347,-1.0,-0.16179436158780822
226,0,2017,,50.0,,1.0,,0.0
231,0,2017,1.9808901183291265,68.5,0.061037913729029156,0.2211162550702167,1.0,26.136154110201193
232,0,2017,1.6411027433045249,76.5,0.11542807333197982,0.0771659313616824,1.0,219.8618140242134
233,0,2017,,50.0,,1.0,,0.0
234,0,2017,,50.0,,1.0,,0.0
238,0,2017,,50.0,,1.0,,0.0
239,0,2017,,50.0,,1.0,,0.0
242,0,2017,3.830610635015292,84.5,0.0018472975814974272,0.020822974945909827,1.0,49.541534024303516
246,0,2017,4.345989804079471,91.5,0.0007313328547535588,0.005319686062957794,1.0,21.77489377607068
248,0,2017,,50.0,,1.0,,0.0
