adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
732,Western Sahara,Western Asia (M49) and Northern Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
740,Suriname,Latin America and the Caribbean (MDG=M49),-39.81704853753191,12.576530691035131,-21.264622174035107,20.39104594429924,35.57822699059572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
744,Svalbard and Jan Mayen Islands,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
748,Eswatini,Sub-Saharan Africa (M49),-8.76862400268655,8.209839627654905,-17.710380132338045,35.39490558403938,17.027201682195034,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
752,Sweden,Northern America (M49) and Europe (M49),-2.8016034055866887,-9.45822612782003,-2.8515397922022254,15.060394763004636,17.499867419465666,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,68.0
756,Switzerland,Northern America (M49) and Europe (M49),-3.977937504173149,-2.6109507448688127,-0.7476346543309055,14.56764050732865,16.89299643307495,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,10.0
760,Syrian Arab Republic,Western Asia (M49) and Northern Africa (M49),-6.691184468609988,3.2757856462063173,32.81902337140338,-2.057839761492159,0.3979475698768663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0
762,Tajikistan,Central Asia (M49) and Southern Asia (MDG=M49),0.4934585634256374,1.617335709213266,0.3736785617392571,-21.312206127598373,-17.80607313783948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,40.0
764,Thailand,Eastern Asia (M49) and South-eastern Asia (MDG=M49),0.3093592142469384,7.125287770239544,5.455401720538671,-3.803454758316601,-1.9521825004575064,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,83.0
768,Togo,Sub-Saharan Africa (M49),-1.7827645235418053,1.8381789276469176,-3.6793843392913512,-2.3895225744665103,2.2893094993664267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
772,Tokelau,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
776,Tonga,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
780,Trinidad and Tobago,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
784,United Arab Emirates,Western Asia (M49) and Northern Africa (M49),0.0,0.0,0.0,113899.951102212,113899.951102212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
788,Tunisia,Western Asia (M49) and Northern Africa (M49),-31.74759678503569,5.733547319415674,21.879692140671857,-12.185667444878272,-16.834967010852832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
792,Türkiye,Western Asia (M49) and Northern Africa (M49),-12.491205674061703,-1.745344551507673,11.956020274060585,24.71587236035213,24.71587236035213,0.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,18.0,0.0,114.0
795,Turkmenistan,Central Asia (M49) and Southern Asia (MDG=M49),-7.155864044554881,3.3849303105352955,6.977502304851393,1.038799383487904,23.16335106893389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
796,Turks and Caicos Islands,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
798,Tuvalu,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800,Uganda,Sub-Saharan Africa (M49),-12.950767441108002,-2.044299526014674,30.74477025063297,31.79139926600601,31.8372502718682,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,57.0
804,Ukraine,Northern America (M49) and Europe (M49),-8.887900112466676,-6.675882561029334,4.556358170130453,13.01575829003754,23.57666686284093,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,99.0
807,North Macedonia,Northern America (M49) and Europe (M49),-8.825424617810253,-1.7195170797510029,16.342251128776823,18.79670238337613,43.712726882979176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
818,Egypt,Western Asia (M49) and Northern Africa (M49),21.168896165598763,14.681165693421974,-12.263993802088816,-16.29614577917812,-21.22429650842747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
826,United Kingdom of Great Britain & Northern Ireland,Northern America (M49) and Europe (M49),-2.1788739516100075,-79.5858427059135,2.1788739516100075,60.06407400656381,80.58932286103031,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,12.0,0.0,36.0
