id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
112012_231,51,6,2017,-1.1803369254078055,0.2499841104011283,69.5,0.1770201062803769,0.0,70850.868360139,-99
112012_706,52,6,2017,3.291010709320682,0.0112740809215399,86.5,0.0143998647267011,0.400650822237367,173.07156809705447,1
112013_231,53,6,2017,-0.700162670166169,0.4908488108459765,60.5,0.4895492114092737,0.0075275830458849,135.10778786780625,-99
112013_706,54,6,2017,1.7264018739941631,0.148876002827423,77.5,0.0664541497999626,1.3796140435151751,197.26388332671647,1
112014_231,55,6,2017,1.2437200262141552,0.2573785745529148,71.5,0.1531211133197004,0.0177351830643602,70.1187687811916,-99
112014_706,56,6,2017,3.187825855187991,0.0087597610777617,82.5,0.0296130943526454,9.662565245582863,49.3108612822825,1
112015_706,57,6,2017,0.7256158862302946,0.4974538764044469,66.5,0.2767657228601765,0.191622137761442,177.95585090719217,1
112016_231,58,6,2017,-0.5365347949336327,0.600444045038983,48.5,0.9458048585528952,1.215047108196525,2.860148823307317,1
112016_706,59,6,2017,-0.5492185162133244,0.5909929208550369,55.0,0.6994163333508471,0.0,0.0,-99
112017_231,60,6,2017,3.27530157088918,0.0176972124954546,91.5,0.0030551280759528,0.0,168350.914609618,-99
112017_706,61,6,2017,1.153371288133122,0.2977108526823557,70.5,0.173982817952602,0.0612764814286492,98.519708571425,1
112018_231,62,6,2017,-1.4588932005979194,0.1604302151474412,40.5,0.5406815690956761,1.2830185038050148,-6.804090593917296,-1
112018_706,63,6,2017,2.156129422622706,0.077027337434755,83.5,0.0248837232827013,0.0105091125851579,49.4633063094535,-99
112019_231,64,6,2017,1.341322434062551,0.2334862562550155,72.5,0.1347921615581339,0.632622449186302,33.16639591989004,1
112019_706,65,6,2017,0.1057673077010743,0.9181708630285568,47.5,0.8918594638362826,6.250371148296535,-17.77638151612706,-1
112020_706,66,6,2017,-0.4194808780070671,0.6848434523336349,56.5,0.6831491932172152,0.220166466925316,20.0221670729476,1
112030_706,67,6,2017,-0.588876629525209,0.5669123149225003,56.5,0.6833223886472285,0.0464999360556249,-14.282093797270548,-1
112041_706,68,6,2017,1.115919009142984,0.3193954041973513,83.5,0.0046209972076787,0.0,8920.748368836,-99
112042_706,69,6,2017,1.7726094290698724,0.1316488173102038,81.5,0.0350255193592902,0.0044563293631653,518.9151401721406,-99
112043_706,70,6,2017,,,50.0,1.0,0.0,0.0,-99
112044_706,71,6,2017,0.9061261240926748,0.4061474385912538,60.5,0.4966573865420429,0.0877678589313291,46.1975878333592,1
112045_706,72,6,2017,-0.6867089578304829,0.4995902870290274,57.0,0.3481446249530623,0.0,0.0,-99
112046_231,73,6,2017,3.177701742768063,0.0099554405914012,83.5,0.0248837232827013,0.2500502491020595,132.40307083573788,1
112046_706,74,6,2017,3.0916021405103,0.0135066357533944,86.5,0.0143998647267011,1.600752840397825,33.32147110539021,1
112047_231,75,6,2017,4.382736680614739,0.0014737842726443,89.5,0.0080240023321337,0.1934343138417485,296.8151356530696,1
112047_706,76,6,2017,1.6249848287827595,0.1708263221186412,79.5,0.0486896107022692,0.0422803902183658,89.45630451304572,1
112048_231,77,6,2017,3.4798645312771166,0.0057483098745271,90.5,0.0065472876128609,0.2946507402410385,43.54086154591116,1
112049_231,78,6,2017,3.5097340440467217,0.0035181114248839,81.5,0.0350957974192842,1.23767898590521,65.24581071991346,1
112050_706,79,6,2017,2.476485896216691,0.0236220420383532,78.0,0.054820893815058,0.0008902683039195,197.77836247207955,-99
112060_706,80,6,2017,2.1425420854009003,0.0836808428356874,88.5,0.0097358130409498,0.0102404532680177,1126.7230519945304,-99
112070_706,81,6,2017,-0.3172346180561498,0.7620480341923797,44.0,0.6500934623485038,0.0,0.0,-99
112111_231,82,6,2017,1.122159346644101,0.3057618006669875,75.5,0.0892445471085907,0.3844874897913545,298.1990213391626,1
112111_232,83,6,2017,4.653507493021452,0.0034632436379271,93.5,0.0034671931907658,76.31083722422025,95.40065305464132,1
112111_262,84,6,2017,3.956099970343786,0.0110316977974987,93.5,0.0034671931907658,21.796190845546448,130.39739100759283,1
112111_706,85,6,2017,3.783111992278002,0.0115178715708045,92.5,0.0043038765583129,5.208019868580635,46.45450724325577,1
112112_231,86,6,2017,8.721567520717068,1.1017604563704833e-08,95.5,0.0016982988833368,0.0026360042975284,2824.1156491124807,-99
112112_706,87,6,2017,4.959549495611679,0.0016622937925834,92.5,0.0042297577631768,0.0582862526250263,119.8556939011739,1
