id,t_score,u_score,p_t,p_u,p_u_thd_0.01
251_578,-1.947110406407617,15.5,0.06383316806452702,0.020822974945909827,0.0
251_752,-2.2970668211026766,7.5,0.031053322827991954,0.004303876558312955,1.0
252_246,-1.013964625033349,8.5,0.32114819198156297,0.005319686062957794,1.0
252_578,-1.5626102852284012,17.5,0.13180003989658287,0.029613094352645416,0.0
252_643,-1.1777419497312434,12.5,0.2509427404055225,0.011899644584157432,0.0
252_752,-1.76390393550928,9.5,0.09102868391672546,0.006547287612860911,1.0
253_643,,,,1.0,0.0
253_744,-3.435718754618799,21.5,0.0022544615965021577,0.0028770378029029414,1.0
261_643,-1.4727004699419615,23.5,0.1543855646370274,0.0771659313616824,0.0
262_643,-2.6801219153605573,12.5,0.013367792237215391,0.011899644584157432,0.0
263_643,,,,1.0,0.0
271_352,-4.248585923376823,13.5,0.00030303110078662963,0.014399864726701132,0.0
272_744,,,,1.0,0.0
281_364,2.830553625606001,-86.5,0.009479414841971923,0.014399864726701132,0.0
281_398,3.116608537882994,-91.5,0.004852662435557031,0.005319686062957794,1.0
281_4,-0.4231152232477087,43.5,0.6761412943971234,0.6833800574551345,0.0
281_795,4.108754582342648,-94.5,0.00042927953347399157,0.002781224934389138,1.0
281_860,-3.5864392433870633,7.5,0.001561039306455011,0.004303876558312955,1.0
282_398,2.733741463563295,-94.5,0.011835082906990169,0.002781224934389138,1.0
282_643,4.2729633440286685,-94.5,0.00028516464691730116,0.002781224934389138,1.0
282_860,0.20554802447059764,-46.5,0.838952403016068,0.838410115171209,0.0
283_398,1.3765365244690961,-64.5,0.1819095281974057,0.3412684763150512,0.0
283_643,-0.989512789928817,-45.5,0.33270869604942366,0.7856962962493347,0.0
284_268,-1.9318937512263998,20.5,0.06578357824401432,0.048689610702269216,0.0
284_31,3.8324187274397885,-95.5,0.0008521364270910907,0.0022214145869887034,1.0
284_364,1.1963044473876245,-68.5,0.24376497137867295,0.2211162550702167,0.0
284_51,-2.1433747427745233,11.5,0.04288883415397801,0.00979219587072503,1.0
284_643,3.9289549941861996,-93.5,0.0006709840199917071,0.003467193190765815,1.0
284_792,-2.013411092512401,17.5,0.05591740858964048,0.029613094352645416,0.0
291_364,0.8010346258358103,-60.5,0.43130930533501444,0.49665738654204294,0.0
291_4,1.0960149209410555,-69.5,0.28441626826259914,0.1965160943128864,0.0
291_586,-0.35971956520821763,-45.5,0.722338754830447,0.7856962962493347,0.0
292_364,1.2973949131109876,51.5,0.2073583612111275,0.9458048585528951,0.0
293_364,-3.2653674397920183,11.5,0.0034020142320988684,0.00979219587072503,1.0
293_586,-4.308888970123573,7.5,0.0002607313633920764,0.004303876558312955,1.0
294_364,-4.745461435390457,5.5,8.779389658730665e-05,0.002781224934389138,1.0
294_368,-2.6035484278269796,24.5,0.01588318495462253,0.08924454710859073,0.0
294_400,-3.039564306737268,11.0,0.0058224785535408935,0.008660584125129274,1.0
294_682,-1.3585407079342684,24.0,0.18746842486467208,0.05038038147715248,0.0
294_760,1.0408401469367554,-68.5,0.3087679535003479,0.2211162550702167,0.0
294_792,-1.4494907874201095,30.5,0.16069993621013512,0.1965160943128864,0.0
295_368,-3.3786675533758066,12.5,0.002588865787060914,0.011899644584157432,0.0
295_414,-2.986273493496294,13.5,0.006599470081024644,0.014399864726701132,0.0
295_48,0.35354749129535945,-56.5,0.7268981962483583,0.6833800574551345,0.0
295_512,-0.029308878603934756,50.5,0.9768710839765467,1.0,0.0
295_634,-3.7281823787402923,9.5,0.0011021163623253871,0.006547287612860911,1.0
295_682,-3.375887220054123,12.5,0.0026063417851165394,0.011899644584157432,0.0
295_784,-3.885824621576202,8.5,0.0007466583169079722,0.005319686062957794,1.0
295_887,-3.4483573130027128,17.5,0.002186292146233454,0.029613094352645416,0.0
296_376,-3.180535235949067,11.5,0.004167937831309192,0.00979219587072503,1.0
296_400,-4.064350956964749,5.5,0.0004794112980300702,0.002781224934389138,1.0
296_682,-2.445410627321651,15.5,0.02254089496691206,0.020822974945909827,0.0
296_818,-3.021506151928501,6.5,0.006075381033577027,0.003467193190765815,1.0
296_887,-4.157889067545536,7.5,0.00037985904893680694,0.004303876558312955,1.0
297_512,-4.721779482967507,6.5,9.312655254179098e-05,0.003467193190765815,1.0
297_682,-4.232363492661684,8.5,0.0003155345474032421,0.005319686062957794,1.0
297_784,-1.8590086551847256,28.5,0.07586810454395107,0.15177222801391682,0.0
297_887,-4.4764264552305955,9.5,0.00017167404670001996,0.00393907590113486,1.0
298_368,,,,1.0,0.0
298_414,,,,1.0,0.0
298_682,-3.957975027665355,9.5,0.0006243904007001198,0.006547287612860911,1.0
299_1049,3.2934709806854903,-95.5,0.0031797876839624387,0.0022214145869887034,1.0
299_368,,,,1.0,0.0
299_376,2.81634127854533,-87.5,0.00979493725644792,0.011899644584157432,0.0
299_400,3.5276854222790535,-92.5,0.0018021569461790204,0.004303876558312955,1.0
299_422,0.4187248552556711,9.5,0.6793016060844248,0.00647496711174354,1.0
299_682,-3.701603485409708,18.5,0.0011766462004509635,0.035095797419284286,0.0
299_760,-0.7739583257810596,35.5,0.44683846859818976,0.3412684763150512,0.0
299_818,,,,1.0,0.0
311_643,-1.0667394403888137,34.5,0.2971594419578832,0.307900293130149,0.0
312_156,-3.6173359093008064,9.5,0.0014472353996252702,0.006547287612860911,1.0
312_398,-3.198556585025079,11.5,0.003992419274558834,0.00979219587072503,1.0
312_496,-1.2442065353990688,30.5,0.22595449833249426,0.1965160943128864,0.0
312_643,-1.2936706590085534,29.5,0.20862073912925375,0.17398281795260206,0.0
313_643,-1.2165223572953046,34.5,0.23612325575949594,0.307900293130149,0.0
321_643,-1.35079146408758,23.5,0.18990298262929925,0.0771659313616824,0.0
322_496,1.5792749384636116,-76.5,0.1279288107862297,0.0771659313616824,0.0
322_643,-2.1403403488203057,7.5,0.04315889966412651,0.004303876558312955,1.0
323_643,-1.1013925158108853,32.5,0.2821189597895454,0.24784912392821346,0.0
331_643,-1.8635087149301663,22.5,0.07520854759096131,0.06645414979996266,0.0
332_643,-3.7023630943795593,17.5,0.0011744489084027274,0.028738933934058825,0.0
341_643,-1.0768378014459556,37.5,0.29271850527358634,0.4146659024229229,0.0
342_643,0.2751517484437115,-60.5,0.7856563599380397,0.49665738654204294,0.0
343_643,-2.8591876061575654,6.5,0.008872814255374506,0.003467193190765815,1.0
351_643,-1.4924459525272442,26.5,0.1491732145846726,0.11794806736103866,0.0
352_643,-2.8175653872554696,12.5,0.009767373680385985,0.011899644584157432,0.0
353_643,-1.7086415638058825,15.5,0.10097981968270842,0.020822974945909827,0.0
354_643,-1.578848800340344,17.5,0.1280266166330159,0.029613094352645416,0.0
355_643,-1.2568051353850362,31.5,0.22143864386194317,0.2211162550702167,0.0
355_840,-1.3170622348839942,36.5,0.2007897135309103,0.37686571143689396,0.0
356_643,-1.4261637728862409,25.5,0.16725420726773893,0.10280164223951978,0.0
361_156,-2.801463134448787,18.5,0.010135908647030033,0.035095797419284286,0.0
361_496,1.6323598840550235,-72.5,0.11622108429038239,0.13479216155813392,0.0
361_643,-0.3145527966169091,-51.5,0.7559369345289108,0.9458048585528951,0.0
411_643,-1.2993807761707734,28.5,0.20668765003638423,0.1534378834105726,0.0
412_1036,0.4928610151723875,-62.5,0.6267833444178981,0.4146659024229229,0.0
412_392,-1.247909789022547,38.5,0.22461988395331714,0.4546204062737812,0.0
412_643,-2.298715210225284,16.5,0.03094437811348323,0.02488372328270136,0.0
413_392,1.2063742199888534,-69.5,0.23993605903049303,0.1965160943128864,0.0
414_392,-4.00946140666611,10.5,0.0005494775820959099,0.005587992251198443,1.0
